,word,length,vowels,syllables,synonyms,pos,learners_freq,subtitles_freq,wikipedia_freq,news_freq,wiki_char_bigram,wiki_char_fourgram,wordvec
0,thomas,6,2,2,2,NOUN,18,0,29342,280,6.403130468949384e-13,3.7447664106456096e-14,0
1,harrow,6,2,2,0,NOUN,0,0,318,0,3.5467045354883565e-13,1.2683586240647558e-13,0
2,michael,7,3,3,0,VERB,48,0,36826,495,4.116120607484093e-15,5.56569555232248e-18,0
3,fletcher,8,2,2,0,VERB,0,0,1914,10,6.302080773319805e-19,4.914274434385211e-24,0
4,comúnmente,10,4,4,0,ADV,16,52,17793,62,1.0277800775058059e-25,2.6431745009468155e-34,[-0.35738733  0.7140063  -0.5523695  -0.30438772  0.75028974]
5,londres,7,2,2,0,NOUN,171,1832,61143,729,2.4763699674354693e-14,4.5412124063449814e-18,0
6,conocido,8,4,4,1,ADJ,306,2912,166404,1967,4.4157253667384965e-17,1.293562639430255e-21,[-0.79858065  1.5646155  -0.38463846 -1.8747658   1.2130867 ]
7,tom,3,1,1,0,NOUN,75,0,18257,197,2.800845470885078e-05,1.0,0
8,compositor,10,4,4,1,NOUN,8,139,36748,193,4.419761298426442e-22,3.361671947639223e-29,[ 0.2542173   1.3355546  -0.04534394 -0.6537432   0.55692214]
9,músico,6,3,3,2,NOUN,34,356,26985,424,3.380904064262586e-16,1.387034799918247e-14,[ 0.20324443  1.0744795   0.04469483 -0.43656403  0.27172825]
10,británico,9,4,4,3,ADJ,29,361,49647,804,2.1769955024338223e-21,2.0808259817987764e-27,[ 0.22604743  1.1236546  -0.08436755 -0.94552743  0.12281317]
11,co-fundador,11,4,4,0,NOUN,0,0,0,5,3.5797988343885417e-20,9.824187703879102e-21,[ 0.20322748  1.2048687   0.41938436 -0.9988722   0.39372346]
12,banda,5,2,2,10,NOUN,181,2489,212795,1367,1.06808678056191e-09,2.34612289109588e-08,[ 0.09188244  1.497155    0.19038227 -0.65946877  0.2720009 ]
13,mcfly,5,0,1,0,ADJ,0,0,480,5,5.038522354583812e-15,4.833199147437528e-13,0
14,británica,9,4,4,0,ADJ,19,195,39531,433,2.0768217480374393e-21,2.264109867431271e-27,[ 0.11845411  1.619805    0.00229621 -0.8523329   0.5517295 ]
15,completada,10,4,4,0,ADJ,2,52,2467,17,1.3634965404536462e-22,1.5384164460922956e-29,[ 0.16929047  1.9307035   0.17683722 -0.6821117   0.53425545]
16,danny,5,1,1,0,NOUN,9,0,6233,71,4.06980328260631e-11,4.095852200530799e-10,0
17,jones,5,2,2,1,NOUN,33,0,16848,233,8.29528069882489e-10,9.446363985089314e-09,0
18,dougie,6,4,2,0,VERB,0,0,141,0,2.5280639970730662e-14,9.144712917637885e-17,0
19,poynter,7,2,3,0,VERB,0,0,70,3,2.5624241893866216e-16,2.1361099487995687e-22,0
20,harry,5,1,2,0,NOUN,184,0,15275,234,7.59429599503504e-11,6.126815406203855e-10,0
21,judd,4,1,2,0,NOUN,0,0,657,10,6.967124807697563e-10,1.0652469686326196e-06,0
22,nació,5,3,2,0,VERB,163,1107,112836,899,2.1949406150554712e-10,8.59312408291952e-08,[-0.47156778  1.5824822  -0.09124779 -2.0639553   0.7002292 ]
23,familia,7,4,3,6,NOUN,2252,17827,351926,7343,2.401969127736423e-15,3.1585285464169064e-17,[-0.14319234  1.1340528  -0.02382362 -0.9938873   0.43589643]
24,clase,5,2,2,11,NOUN,3595,11591,71805,1599,3.286229106178683e-10,3.248787741512524e-09,[-0.02821728  0.2589813  -0.13895161 -0.52835083  0.270078  ]
25,obrera,6,3,2,0,ADJ,3,36,5614,73,2.0233948655125396e-12,1.9397154935629144e-13,[ 0.01354154  0.44349656  0.05339536 -0.14135303  0.20727487]
26,hijo,4,2,2,4,NOUN,868,28291,171034,3123,1.936224033489628e-09,2.532920569859784e-05,0
27,bob,3,1,1,0,VERB,23,0,15016,109,3.5282954910849057e-06,1.0,0
28,debbie,6,3,2,0,VERB,3,0,900,16,8.032860718688114e-15,3.168649918536376e-17,0
29,hermana,7,3,3,6,NOUN,953,8956,42011,804,2.1025225678982064e-14,2.0685246016053613e-16,[-0.0388542   0.8722835  -0.43034002 -1.4562666   0.56063706]
30,menor,5,2,2,13,ADJ,335,1969,81420,3845,1.6494872848287735e-09,1.755537009168884e-09,[-0.02423372  1.1590874  -0.70464283 -1.5270528   0.7846203 ]
31,carrie,6,3,2,0,VERB,0,0,1888,27,4.936309581154319e-12,7.324160245598114e-13,0
32,hope,4,2,2,0,VERB,162,0,4153,40,2.6836371932586748e-08,1.5229086292303377e-05,0
33,atraído,7,4,2,0,ADJ,13,142,5715,34,5.97144223865739e-18,4.697040710173538e-21,"[ 2.5052205e-04  8.8064402e-01 -1.1826303e-01 -7.4081588e-01
  5.5125970e-02]"
34,sintió,6,3,2,0,VERB,77,731,7040,341,1.971235370081068e-12,5.05151221224355e-15,[ 0.11679888  0.98029244  0.04181756 -0.75197065  0.39752653]
35,temprana,8,3,3,0,ADJ,23,129,14127,333,4.537204999681702e-17,1.0116767727169039e-22,[ 0.0409904   1.4565779   0.40471628 -1.7854235   0.43583468]
36,música,6,3,3,3,NOUN,1213,5829,177258,2674,3.2253328409906083e-16,1.3476979193303261e-14,[ 0.21855745  0.6333947   0.22101137 -0.6146721  -0.12015127]
37,edad,4,2,1,3,NOUN,516,4708,138542,5658,1.1425641664959248e-07,8.91651166336933e-05,[-0.54027903  1.2971399   0.49351087 -1.5737416   0.38781935]
38,puesto,6,3,2,7,VERB,495,4939,147571,4569,1.244666425115924e-12,1.1967970985768493e-12,[ 0.20109548  1.1518887   0.3931819  -1.7635558   0.5447469 ]
39,padre,5,2,2,7,NOUN,1128,31630,166614,2820,2.391335465175743e-10,9.93599896873532e-10,"[ 4.6357629e-01  3.7951639e-01  2.1929632e-01 -1.9485297e+00
  7.0848106e-04]"
40,tocaba,6,3,3,0,VERB,41,399,4945,101,8.026903291223429e-13,3.9954557751113396e-14,[ 0.17526664  0.45645303  0.5231872  -1.2739881   0.09088314]
41,bandas,6,2,2,0,NOUN,26,334,35805,413,7.030316064302878e-12,8.830507718820848e-13,[-0.05675801  0.45467898  0.6254623  -0.95131564 -0.01831692]
42,locales,7,3,3,0,NOUN,71,651,49975,3766,4.9781987929844434e-14,2.197509439135928e-16,[-0.02719241  1.0150594   0.9949856  -1.650018    0.32935497]
43,aparación,9,5,3,0,NOUN,0,0,52,0,3.512765200487833e-20,8.075804270645123e-22,[-0.26926976  0.52967906 -0.02825994 -0.4997227   0.25274998]
44,años,4,2,1,1,NOUN,4847,40816,819647,36388,1.3386994008915813e-09,6.928050655255113e-05,[-0.67538565  2.6580656  -0.7721718  -2.8802557   1.1882129 ]
45,artística,9,4,4,0,ADJ,9,127,23232,305,2.9533755314923056e-21,4.492178699630397e-26,[-0.30471474  0.63116527 -0.01657672 -0.7206872   0.07726205]
46,interpretando,13,5,5,0,VERB,0,58,12780,55,5.720279112119073e-28,1.0341768879731847e-39,[-0.08503782  0.30271915 -0.00753692 -0.5235042   0.16173723]
47,fagin,5,2,2,1,VERB,0,0,101,0,4.3108821842132146e-11,2.570958412190786e-10,0
48,papel,5,2,2,5,NOUN,392,3978,105237,2328,1.5468841063769063e-10,7.90602419509403e-10,[-0.12394005  1.0943141   0.26793933 -1.3755853   0.05545397]
49,musical,7,3,3,3,ADJ,99,600,97541,942,5.451714845334984e-15,6.268064839608502e-17,[-0.37141654  0.37635332 -0.229567   -0.58450955  0.30129674]
